business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Handyman-R-Us NYC","","+19145578132","","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/Handyman-R-Us+NYC/data=!4m7!3m6!1s0x89c259ab5ecbcbd3:0xfd21893967e89f63!8m2!3d40.8524427!4d-73.8939169!16s%2Fg%2F1tffvvts!19sChIJ08vLXqtZwokRY5_oZzmJIf0?authuser=0&hl=en&rclk=1"
"Joe’s Handyman Service Manhattan","","+19293571607","","New York, NY","New York, NY","handyman","","5","https://www.google.com/maps/place/Joe%E2%80%99s+Handyman+Service+Manhattan/data=!4m7!3m6!1s0x94bf5f22a665939:0xb56e584e5638aba!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11pl52v9zg!19sChIJOVlmKvL1SwkRuopj5YTlVgs?authuser=0&hl=en&rclk=1"
"X & K Midtown East Handyman","Address: 968 3rd Ave, New York, NY 10022, United States ","+16467131137","","New York, NY","New York, NY","handyman","","5","https://www.google.com/maps/place/X+%26+K+Midtown+East+Handyman/data=!4m7!3m6!1s0x89c25e2de11d44a1:0xd6eda6760f43cf91!8m2!3d40.760951!4d-73.967412!16s%2Fg%2F11f1nxnn_q!19sChIJoUQd4S1ewokRkc9DD3am7dY?authuser=0&hl=en&rclk=1"
"AXU Manhattan Handyman","Address: 467 Columbus Ave, New York, NY 10024, United States ","+16468322767","","New York, NY","New York, NY","handyman","","5","https://www.google.com/maps/place/AXU+Manhattan+Handyman/data=!4m7!3m6!1s0x89c25e39b237e23d:0x7602aa17a5af09cb!8m2!3d40.784065!4d-73.973568!16s%2Fg%2F11hd1t753j!19sChIJPeI3sjlewokRywmvpReqAnY?authuser=0&hl=en&rclk=1"
