business_name,address,phone,website,area,city,category,reviews_count,rating,url
"SANY Plumbing Company 24/7","Address: 112 W 33rd St, New York, NY 10001, United States ","+13322417045","","New York, NY","New York, NY","plumbers","","4.6","https://www.google.com/maps/place/SANY+Plumbing+Company+24%2F7/data=!4m7!3m6!1s0x87e2358e25d4eb77:0xeecd1b82f882d00e!8m2!3d40.7495298!4d-73.9889466!16s%2Fg%2F11q1p2lk25!19sChIJd-vUJY414ocRDtCC-IIbze4?authuser=0&hl=en&rclk=1"
"NYC Quality Plumbing","Address: 885 6th Ave, New York, NY 10001, United States ","+13322220135","","New York, NY","New York, NY","plumbers","","4.9","https://www.google.com/maps/place/NYC+Quality+Plumbing/data=!4m7!3m6!1s0x87df2f68ba02920f:0xab309230c71cfe77!8m2!3d40.748454!4d-73.9890863!16s%2Fg%2F11tjkxgg0y!19sChIJD5ICumgv34cRd_4cxzCSMKs?authuser=0&hl=en&rclk=1"
"Premier Plumbing Company NYC 24/7","Address: 173 W 131st St, New York, NY 10027, United States ","+13322394044","","New York, NY","New York, NY","plumbers","","4.9","https://www.google.com/maps/place/Premier+Plumbing+Company+NYC+24%2F7/data=!4m7!3m6!1s0x89c2f67e5be00ccb:0xf5d159ef567435db!8m2!3d40.8126817!4d-73.9451037!16s%2Fg%2F1tfc7k2r!19sChIJywzgW372wokR2zV0Vu9Z0fU?authuser=0&hl=en&rclk=1"
"Empire NYC Plumbers, Drain & Sewer Cleaning","Address: 537 W 150th St, New York, NY 10031, United States ","+16463496213","","New York, NY","New York, NY","plumbers","","5","https://www.google.com/maps/place/Empire+NYC+Plumbers,+Drain+%26+Sewer+Cleaning/data=!4m7!3m6!1s0x89c2f79b6c06b899:0x486cf42e6ff4b036!8m2!3d40.8292237!4d-73.9467409!16s%2Fg%2F11sswxhbbr!19sChIJmbgGbJv3wokRNrD0by70bEg?authuser=0&hl=en&rclk=1"
"LZ Manhattan Plumbing New York","Address: 3060 NY-2200 Frederick Douglass Blvd, New York, NY 10026, United States ","+13155268735","","New York, NY","New York, NY","plumbers","","4.9","https://www.google.com/maps/place/LZ+Manhattan+Plumbing+New+York/data=!4m7!3m6!1s0x89dd673c7b19ea9f:0xeb383fd77f53671f!8m2!3d40.8060722!4d-73.9537925!16s%2Fg%2F11nm_hss4y!19sChIJn-oZezxn3YkRH2dTf9c_OOs?authuser=0&hl=en&rclk=1"
"NYC HVAC & Plumbing Services","Address: 430 Lafayette St, New York, NY 10003, United States ","","","New York, NY","New York, NY","plumbers","","4.5","https://www.google.com/maps/place/NYC+HVAC+%26+Plumbing+Services/data=!4m7!3m6!1s0x880fc983b27d0915:0xba9f884b40f92e2c!8m2!3d40.729286!4d-73.9924838!16s%2Fg%2F11q1p40zs5!19sChIJFQl9soPJD4gRLC75QEuIn7o?authuser=0&hl=en&rclk=1"
