business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Corvo Coffee","Address: 542 9th Ave, New York, NY 10018, United States ","","","New York, NY","New York, NY","coffee shop","","4.3","https://www.google.com/maps/place/Corvo+Coffee/data=!4m7!3m6!1s0x89c25852b61a7fdb:0x8caabf047de8ebc3!8m2!3d40.7569714!4d-73.9933947!16s%2Fg%2F11c56dyxfd!19sChIJ238atlJYwokRw-vofQS_qow?authuser=0&hl=en&rclk=1"
"Lucid Cafe","Address: 311 Lexington Ave, New York, NY 10016, United States ","+12128673490","","New York, NY","New York, NY","coffee shop","","4.5","https://www.google.com/maps/place/Lucid+Cafe/data=!4m7!3m6!1s0x89c25906a539567f:0xb2eba6cfb1c112f9!8m2!3d40.7487442!4d-73.9778073!16s%2Fg%2F11cly979k3!19sChIJf1Y5pQZZwokR-RLBsc-m67I?authuser=0&hl=en&rclk=1"
"Aleef Cafe","Address: 333 W 39th St, New York, NY 10018, United States ","+12125642723","","New York, NY","New York, NY","coffee shop","","4.8","https://www.google.com/maps/place/Aleef+Cafe/data=!4m7!3m6!1s0x89c259ad30ff58c3:0xa40168f3cf56ff27!8m2!3d40.7561758!4d-73.9925797!16s%2Fg%2F1td59jld!19sChIJw1j_MK1ZwokRJ_9Wz_NoAaQ?authuser=0&hl=en&rclk=1"
