business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Thrift NYC","Address: 226 E 14th St, New York, NY 10003, United States ","+13473080491","","New York, NY","New York, NY","thrift store","","4.7","https://www.google.com/maps/place/Thrift+NYC/data=!4m7!3m6!1s0x89c25924c9226fc1:0x7881c909c0b5673c!8m2!3d40.7326152!4d-73.9862061!16s%2Fg%2F11t5vvy7d4!19sChIJwW8iySRZwokRPGe1wAnJgXg?authuser=0&hl=en&rclk=1"
"East Village Thrift Shop","Address: 186 2nd Ave, New York, NY 10003, United States ","+16465902021","","New York, NY","New York, NY","thrift store","","4.1","https://www.google.com/maps/place/East+Village+Thrift+Shop/data=!4m7!3m6!1s0x89c2599e801fb543:0x467fee004225da16!8m2!3d40.7306928!4d-73.9857514!16s%2Fg%2F1tdkb_46!19sChIJQ7UfgJ5ZwokRFtolQgDuf0Y?authuser=0&hl=en&rclk=1"
"Upper EastSide Thrift shop","Address: 1670 1st Ave, New York, NY 10128, United States ","+12129510459","","New York, NY","New York, NY","thrift store","","4.6","https://www.google.com/maps/place/Upper+EastSide+Thrift+shop/data=!4m7!3m6!1s0x89c2591f07f9ae0d:0x6169c79b0d3d0a3f!8m2!3d40.7776604!4d-73.9486088!16s%2Fg%2F11v0n5nyc8!19sChIJDa75Bx9ZwokRPwo9DZvHaWE?authuser=0&hl=en&rclk=1"
"Thrift NYC","Address: 150 W 26th St, New York, NY 10001, United States ","+13473080491","","New York, NY","New York, NY","thrift store","","4.4","https://www.google.com/maps/place/Thrift+NYC/data=!4m7!3m6!1s0x89c2594828cb4d25:0x97035bc1819333fe!8m2!3d40.7454414!4d-73.9935239!16s%2Fg%2F11wn12_6qp!19sChIJJU3LKEhZwokR_jOTgcFbA5c?authuser=0&hl=en&rclk=1"
"K.L.Thrift Store","Address: 31 Eldridge St, New York, NY 10002, United States ","","","New York, NY","New York, NY","thrift store","","4.6","https://www.google.com/maps/place/K.L.Thrift+Store/data=!4m7!3m6!1s0x89c25a2868a0e925:0x2fb5b856e513cf4c!8m2!3d40.7152177!4d-73.9935787!16s%2Fg%2F11n__w68sw!19sChIJJemgaChawokRTM8T5Va4tS8?authuser=0&hl=en&rclk=1"
"Best Fashion NYC","Address: 297 Grand St, New York, NY 10002, United States ","+19293310134","","New York, NY","New York, NY","thrift store","","4.8","https://www.google.com/maps/place/Best+Fashion+NYC/data=!4m7!3m6!1s0x89c259006499d287:0xda92da8d95b518fb!8m2!3d40.7173622!4d-73.9920418!16s%2Fg%2F11w31j0j0f!19sChIJh9KZZABZwokR-xi1lY3akto?authuser=0&hl=en&rclk=1"
"Thrift NYC","Address: 30 W 14th St, New York, NY 10011, United States ","+13473080491","","New York, NY","New York, NY","thrift store","","3.9","https://www.google.com/maps/place/Thrift+NYC/data=!4m7!3m6!1s0x89c24f3a613fd545:0xcb6540abe86e4377!8m2!3d40.7364459!4d-73.9953271!16s%2Fg%2F11rfp4wglm!19sChIJRdU_YTpPwokRd0Nu6KtAZcs?authuser=0&hl=en&rclk=1"
