business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Cocktails Boutique NYC","Address: 1011 Lexington Ave, New York, NY 10021, United States ","+19179579441","","New York, NY","New York, NY","boutique","","5","https://www.google.com/maps/place/Cocktails+Boutique+NYC/data=!4m7!3m6!1s0x89c2591978669003:0xdf79d10ff17bc292!8m2!3d40.7708391!4d-73.9616548!16s%2Fg%2F11jk14gy12!19sChIJA5BmeBlZwokRksJ78Q_Red8?authuser=0&hl=en&rclk=1"
"Ava James NYC","Address: 224 W 30th St #1201, New York, NY 10001, United States ","+18774342825","","New York, NY","New York, NY","boutique","","5","https://www.google.com/maps/place/Ava+James+NYC/data=!4m7!3m6!1s0x89c25912837f1f19:0xce1a7504ae124470!8m2!3d40.748827!4d-73.993757!16s%2Fg%2F11c46g0whg!19sChIJGR9_gxJZwokRcEQSrgR1Gs4?authuser=0&hl=en&rclk=1"
"Bb couture","Address: 312 5th Ave FL 5, New York, NY 10001, United States ","+19173551366","","New York, NY","New York, NY","boutique","","4.6","https://www.google.com/maps/place/Bb+couture/data=!4m7!3m6!1s0x89c259a34106e325:0xabdc660b8042d373!8m2!3d40.7470502!4d-73.9859718!16s%2Fg%2F11btsvh0mm!19sChIJJeMGQaNZwokRc9NCgAtm3Ks?authuser=0&hl=en&rclk=1"
