business_name,address,phone,website,area,city,category,reviews_count,rating,url
"AC Repair and Maintenance Lower Manhattan","Address: 240 Mott St, New York, NY 10012, United States ","+16469214202","","New York, NY","New York, NY","air conditioning repair","","4.3","https://www.google.com/maps/place/AC+Repair+and+Maintenance+Lower+Manhattan/data=!4m7!3m6!1s0x89c259ddd889926d:0xb3d1513386987d4a!8m2!3d40.722747!4d-73.994895!16s%2Fg%2F11fxcg0d7k!19sChIJbZKJ2N1ZwokRSn2YhjNR0bM?authuser=0&hl=en&rclk=1"
"Greenwich Village AC Repair & Maintenance","Address: 520 Hudson St, New York, NY 10014, United States ","+16468464432","","New York, NY","New York, NY","air conditioning repair","","4.6","https://www.google.com/maps/place/Greenwich+Village+AC+Repair+%26+Maintenance/data=!4m7!3m6!1s0x89c259df1fd61f91:0x35d8702da2595bd!8m2!3d40.7338815!4d-74.0058847!16s%2Fg%2F11d_bh542f!19sChIJkR_WH99ZwokRvZUl2gKHXQM?authuser=0&hl=en&rclk=1"
"Master Broadway Air Conditioner Repair","Address: 177 Broadway, New York, NY 10007, United States ","+13322498448","","New York, NY","New York, NY","air conditioning repair","","4.8","https://www.google.com/maps/place/Master+Broadway+Air+Conditioner+Repair/data=!4m7!3m6!1s0x80c2b9a1ceb6910f:0x1e314f7220ed6682!8m2!3d40.7101253!4d-74.0100762!16s%2Fg%2F11sstmsh8s!19sChIJD5G2zqG5woARgmbtIHJPMR4?authuser=0&hl=en&rclk=1"
"Moses & Sons AC Repair","Address: 242 Mott St #1, New York, NY 10012, United States ","+19295125017","","New York, NY","New York, NY","air conditioning repair","","4.8","https://www.google.com/maps/place/Moses+%26+Sons+AC+Repair/data=!4m7!3m6!1s0x865c5da9a87a7d5d:0xe32fcb8ce70a88c9!8m2!3d40.7231566!4d-73.9947334!16s%2Fg%2F11h69wgj9m!19sChIJXX16qKldXIYRyYgK54zLL-M?authuser=0&hl=en&rclk=1"
