business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Giant Red Ornaments (Christmas)","Address: 1251 6th Ave, New York, NY 10020, United States ","","","New York, NY","New York, NY","ornament shop","","4.8","https://www.google.com/maps/place/Giant+Red+Ornaments+%28Christmas%29/data=!4m7!3m6!1s0x89c259cb533cb019:0x8e592b53254a9d20!8m2!3d40.759737!4d-73.9809787!16s%2Fg%2F11j48rd_p_!19sChIJGbA8U8tZwokRIJ1KJVMrWY4?authuser=0&hl=en&rclk=1"
"Fulton Gifts & Souvenirs","Address: 60 Fulton St, New York, NY 10038, United States ","+13478491806","","New York, NY","New York, NY","ornament shop","","4.3","https://www.google.com/maps/place/Fulton+Gifts+%26+Souvenirs/data=!4m7!3m6!1s0x89c25b5374349565:0xc261aa555be438a2!8m2!3d40.7086656!4d-74.0052319!16s%2Fg%2F11ptlw42br!19sChIJZZU0dFNbwokRojjkW1WqYcI?authuser=0&hl=en&rclk=1"
"8th Ave.Gift Shop","Address: 696 8th Ave, New York, NY 10036, United States ","","","New York, NY","New York, NY","ornament shop","","2.9","https://www.google.com/maps/place/8th+Ave.Gift+Shop/data=!4m7!3m6!1s0x89c2585380013b33:0xb7b3e09b021866f6!8m2!3d40.7581768!4d-73.9888853!16s%2Fg%2F11c2ppk_fd!19sChIJMzsBgFNYwokR9mYYApvgs7c?authuser=0&hl=en&rclk=1"
"NY Gift Shop","Address: 106 Mulberry St, New York, NY 10013, United States ","+12129250760","","New York, NY","New York, NY","ornament shop","","3.4","https://www.google.com/maps/place/NY+Gift+Shop/data=!4m7!3m6!1s0x89c25a277bc03255:0xe71b4d8c0fa112bb!8m2!3d40.7173323!4d-73.9981743!16s%2Fg%2F1tdmqzvv!19sChIJVTLAeydawokRuxKhD4xNG-c?authuser=0&hl=en&rclk=1"
"NY GIFT NY","Address: 49 Broadway, New York, NY 10006, United States ","","","New York, NY","New York, NY","ornament shop","","4.1","https://www.google.com/maps/place/NY+GIFT+NY/data=!4m7!3m6!1s0x89c25a11353be361:0x885092301fe652c2!8m2!3d40.7063491!4d-74.0125217!16s%2Fg%2F11f3qx27tx!19sChIJYeM7NRFawokRwlLmHzCSUIg?authuser=0&hl=en&rclk=1"
"I Love NY Gifts","Address: 1653 Broadway, New York, NY 10019, United States ","","","New York, NY","New York, NY","ornament shop","","3.5","https://www.google.com/maps/place/I+Love+NY+Gifts/data=!4m7!3m6!1s0x89c258562d0609e5:0x79ad10e972fac102!8m2!3d40.762456!4d-73.9835957!16s%2Fg%2F11c1x_mpwb!19sChIJ5QkGLVZYwokRAsH6cukQrXk?authuser=0&hl=en&rclk=1"
"NY Gifts","Address: 375a 6th Ave, New York, NY 10014, United States ","+12129896350","","New York, NY","New York, NY","ornament shop","","4.9","https://www.google.com/maps/place/NY+Gifts/data=!4m7!3m6!1s0x89c2599154dca11b:0x47c799ba725c4238!8m2!3d40.732864!4d-74.0003714!16s%2Fg%2F1wj_v5jg!19sChIJG6HcVJFZwokROEJccrqZx0c?authuser=0&hl=en&rclk=1"
"I Love NY Gift","Address: 888 6th Ave, New York, NY 10001, United States ","","","New York, NY","New York, NY","ornament shop","","2.7","https://www.google.com/maps/place/I+Love+NY+Gift/data=!4m7!3m6!1s0x89c259743e3f0dd9:0x9877513bf5ff800!8m2!3d40.7481543!4d-73.9886899!16s%2Fg%2F11h0sq0v_n!19sChIJ2Q0_PnRZwokRAPhfvxN1hwk?authuser=0&hl=en&rclk=1"
