business_name,address,phone,website,area,city,category,reviews_count,rating,url
"City Hats - 55East Houston St NY 10012","Address: 55 E Houston St, New York, NY 10012, United States ","+12122601948","","New York, NY","New York, NY","hat store","","4.1","https://www.google.com/maps/place/City+Hats+-+55East+Houston+St+NY+10012/data=!4m7!3m6!1s0x89c2598586ab2d63:0x2962d0d66d66cd30!8m2!3d40.7245995!4d-73.9944724!16s%2Fg%2F1tf491qz!19sChIJYy2rhoVZwokRMM1mbdbQYik?authuser=0&hl=en&rclk=1"
"Kangol","Address: 346 Lenox Ave, New York, NY 10027, United States ","+12127241172","","New York, NY","New York, NY","hat store","","4.6","https://www.google.com/maps/place/Kangol/data=!4m7!3m6!1s0x89c2588adc0a750d:0x5b8288f8472c566f!8m2!3d40.809236!4d-73.944033!16s%2Fg%2F1tk6wtpp!19sChIJDXUK3IpYwokRb1YsR_iIgls?authuser=0&hl=en&rclk=1"
"General Hat Shop","Address: 3434 Broadway, New York, NY 10031, United States ","+12124913859","","New York, NY","New York, NY","hat store","","5","https://www.google.com/maps/place/General+Hat+Shop/data=!4m7!3m6!1s0x89c2f664307d98e9:0xcf45b3704c350a47!8m2!3d40.8228934!4d-73.9526654!16s%2Fg%2F11c5zwkyjs!19sChIJ6Zh9MGT2wokRRwo1THCzRc8?authuser=0&hl=en&rclk=1"
"PRETTY PERFECTION HATS","Address: 2130 1st Ave apt, New York, NY 10029, United States ","","","New York, NY","New York, NY","hat store","","5","https://www.google.com/maps/place/PRETTY+PERFECTION+HATS/data=!4m7!3m6!1s0x89c2f7663593b5b1:0x8d8e91ec0c3ae9ce!8m2!3d40.7918925!4d-73.9379833!16s%2Fg%2F11nnvhw10w!19sChIJsbWTNWb3wokRzuk6DOyRjo0?authuser=0&hl=en&rclk=1"
"hats by kat","Address: 28 E 29th St, New York, NY 10016, United States ","+12125458085","","New York, NY","New York, NY","hat store","","5","https://www.google.com/maps/place/hats+by+kat/data=!4m7!3m6!1s0x89c259a7c74c0001:0x470478639e5e987a!8m2!3d40.7442759!4d-73.9848804!16s%2Fg%2F11fx7y25h0!19sChIJAQBMx6dZwokRephenmN4BEc?authuser=0&hl=en&rclk=1"
