business_name,address,phone,website,area,city,category,reviews_count,rating,url
"I Love NY Gifts","Address: 1653 Broadway, New York, NY 10019, United States ","","","New York, NY","New York, NY","gift shop","","3.5","https://www.google.com/maps/place/I+Love+NY+Gifts/data=!4m7!3m6!1s0x89c258562d0609e5:0x79ad10e972fac102!8m2!3d40.762456!4d-73.9835957!16s%2Fg%2F11c1x_mpwb!19sChIJ5QkGLVZYwokRAsH6cukQrXk?authuser=0&hl=en&rclk=1"
"NYC Gifts","Address: 1027 6th Ave, New York, NY 10018, United States ","","","New York, NY","New York, NY","gift shop","","4","https://www.google.com/maps/place/NYC+Gifts/data=!4m7!3m6!1s0x89c259abacc897f9:0x9a494c9dccb07867!8m2!3d40.7526504!4d-73.9859844!16s%2Fg%2F11hcdwbg05!19sChIJ-ZfIrKtZwokRZ3iwzJ1MSZo?authuser=0&hl=en&rclk=1"
"NY Gifts","Address: 375a 6th Ave, New York, NY 10014, United States ","+12129896350","","New York, NY","New York, NY","gift shop","","4.9","https://www.google.com/maps/place/NY+Gifts/data=!4m7!3m6!1s0x89c2599154dca11b:0x47c799ba725c4238!8m2!3d40.732864!4d-74.0003714!16s%2Fg%2F1wj_v5jg!19sChIJG6HcVJFZwokROEJccrqZx0c?authuser=0&hl=en&rclk=1"
"Big Apple Souvenirs & Gifts","Address: 840 7th Ave, New York, NY 10019, United States ","+12125863089","","New York, NY","New York, NY","gift shop","","4.8","https://www.google.com/maps/place/Big+Apple+Souvenirs+%26+Gifts/data=!4m7!3m6!1s0x89c258f8152a01fd:0x91d51bf3419d30ef!8m2!3d40.7635272!4d-73.9817164!16s%2Fg%2F1t_tl66_!19sChIJ_QEqFfhYwokR7zCdQfMb1ZE?authuser=0&hl=en&rclk=1"
"Gifts On 6th","Address: 1032 6th Ave, New York, NY 10018, United States ","+12125640054","","New York, NY","New York, NY","gift shop","","3.6","https://www.google.com/maps/place/Gifts+On+6th/data=!4m7!3m6!1s0x89c259aa5720ea69:0xbd1f5a822115268d!8m2!3d40.7526973!4d-73.9854014!16s%2Fg%2F1tdmft5g!19sChIJaeogV6pZwokRjSYVIYJaH70?authuser=0&hl=en&rclk=1"
"Gift Expression Inc","Address: 730 8th Ave #45, New York, NY 10036, United States ","+12123027422","","New York, NY","New York, NY","gift shop","","4.9","https://www.google.com/maps/place/Gift+Expression+Inc/data=!4m7!3m6!1s0x89c258546d82d5df:0x9143b80c7bbcdcf4!8m2!3d40.7593188!4d-73.9880731!16s%2Fg%2F1tsbn0lm!19sChIJ39WCbVRYwokR9Ny8ewy4Q5E?authuser=0&hl=en&rclk=1"
"Gotham Gifts","Address: 767 8th Ave, New York, NY 10036, United States ","+19295314419","","New York, NY","New York, NY","gift shop","","4.6","https://www.google.com/maps/place/Gotham+Gifts/data=!4m7!3m6!1s0x89c259da20a05f49:0x618112084d54ca9b!8m2!3d40.7603864!4d-73.9878782!16s%2Fg%2F11sdbfzy_z!19sChIJSV-gINpZwokRm8pUTQgSgWE?authuser=0&hl=en&rclk=1"
"I love NY gift & souvenir shop","Address: 1 Mott St, New York, NY 10013, United States ","+16463576878","","New York, NY","New York, NY","gift shop","","4.9","https://www.google.com/maps/place/I+love+NY+gift+%26+souvenir+shop/data=!4m7!3m6!1s0x89c25b0068dab6db:0xc72a0bebde0bd470!8m2!3d40.7137939!4d-73.9989727!16s%2Fg%2F11wh60cwtb!19sChIJ27baaABbwokRcNQL3usLKsc?authuser=0&hl=en&rclk=1"
"8th Ave.Gift Shop","Address: 696 8th Ave, New York, NY 10036, United States ","","","New York, NY","New York, NY","gift shop","","2.9","https://www.google.com/maps/place/8th+Ave.Gift+Shop/data=!4m7!3m6!1s0x89c2585380013b33:0xb7b3e09b021866f6!8m2!3d40.7581768!4d-73.9888853!16s%2Fg%2F11c2ppk_fd!19sChIJMzsBgFNYwokR9mYYApvgs7c?authuser=0&hl=en&rclk=1"
