business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Tru-Green New York","Address: 82 W 126th St, New York, NY 10027, United States ","+18338440928","","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/Tru-Green+New+York/data=!4m7!3m6!1s0x89c2f758dfc38ffb:0x146777776be759e2!8m2!3d40.8080502!4d-73.9445468!16s%2Fg%2F11y6hz_h69!19sChIJ-4_D31j3wokR4lnna3d3ZxQ?authuser=0&hl=en&rclk=1"
"J & H Landscaping Inc","","+17187381969","","New York, NY","New York, NY","lawn care","","4.2","https://www.google.com/maps/place/J+%26+H+Landscaping+Inc/data=!4m7!3m6!1s0x89c26759e837cfa5:0xedac9a5641c1b8d4!8m2!3d40.6752555!4d-73.846643!16s%2Fg%2F11b7r6np2h!19sChIJpc836FlnwokR1LjBQVaarO0?authuser=0&hl=en&rclk=1"
"C & S Property Maintenance and Lawn care, Inc.","","+19145632712","","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/C+%26+S+Property+Maintenance+and+Lawn+care,+Inc./data=!4m7!3m6!1s0x89c28d13285fdcf5:0xadced0cfa63f8416!8m2!3d41.1191305!4d-73.7329896!16s%2Fg%2F11j2bqwxg0!19sChIJ9dxfKBONwokRFoQ_ps_Qzq0?authuser=0&hl=en&rclk=1"
