business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Garden Hardware & Supply","Address: 701 10th Ave, New York, NY 10036, United States ","+12122472888","","New York, NY","New York, NY","hardware store","","4.6","https://www.google.com/maps/place/Garden+Hardware+%26+Supply/data=!4m7!3m6!1s0x89c25851b798f3cf:0xcfb87e7b32062638!8m2!3d40.7633843!4d-73.9931033!16s%2Fg%2F1tyyy0hp!19sChIJz_OYt1FYwokROCYGMnt-uM8?authuser=0&hl=en&rclk=1"
"hardware store Hercules Supply House","Address: 213 E 84th St, New York, NY 10028, United States ","+12122492701","","New York, NY","New York, NY","hardware store","","4.8","https://www.google.com/maps/place/hardware+store+Hercules+Supply+House/data=!4m7!3m6!1s0x89c258bc7051eb91:0xa53a745969f5190c!8m2!3d40.7774202!4d-73.9542083!16s%2Fg%2F11cnpf2n50!19sChIJketRcLxYwokRDBn1aVl0OqU?authuser=0&hl=en&rclk=1"
"Lower eastside hardware","Address: 98 Clinton St, New York, NY 10002, United States ","+16468389259","","New York, NY","New York, NY","hardware store","","4.5","https://www.google.com/maps/place/Lower+eastside+hardware/data=!4m7!3m6!1s0x89c25980524e4c21:0x27e986bd2a80caa3!8m2!3d40.7181707!4d-73.9853574!16s%2Fg%2F11g8_1yj1f!19sChIJIUxOUoBZwokRo8qAKr2G6Sc?authuser=0&hl=en&rclk=1"
"Barney's Hardware","Address: 467 6th Ave #1FL, New York, NY 10011, United States ","+12126753846","","New York, NY","New York, NY","hardware store","","4.6","https://www.google.com/maps/place/Barney%27s+Hardware/data=!4m7!3m6!1s0x89c259964fd7c537:0xb2d8f3427cfa2a5b!8m2!3d40.7356429!4d-73.9984026!16s%2Fg%2F1tg9tlt3!19sChIJN8XXT5ZZwokRWyr6fELz2LI?authuser=0&hl=en&rclk=1"
"C H P Hardware","Address: 120 Loisaida Ave, New York, NY 10009, United States ","+12125335281","","New York, NY","New York, NY","hardware store","","4.2","https://www.google.com/maps/place/C+H+P+Hardware/data=!4m7!3m6!1s0x89c25979c09ba559:0x3252dca6999f9312!8m2!3d40.7244359!4d-73.9783554!16s%2Fg%2F1tfryd7k!19sChIJWaWbwHlZwokREpOfmabcUjI?authuser=0&hl=en&rclk=1"
"Garcia Hardware & Households","Address: 995 Columbus Ave, New York, NY 10025, United States ","","","New York, NY","New York, NY","hardware store","","5","https://www.google.com/maps/place/Garcia+Hardware+%26+Households/data=!4m7!3m6!1s0x89c2f755366033c9:0x179eda3ef0102604!8m2!3d40.8010174!4d-73.9613774!16s%2Fg%2F11rstn2_r3!19sChIJyTNgNlX3wokRBCYQ8D7anhc?authuser=0&hl=en&rclk=1"
"KDM Hardware","Address: 147 W 26th St fl 5, New York, NY 10001, United States ","+12122423799","","New York, NY","New York, NY","hardware store","","4.3","https://www.google.com/maps/place/KDM+Hardware/data=!4m7!3m6!1s0x89c259a541aa00db:0xa51e9105bffccfe9!8m2!3d40.7457037!4d-73.992999!16s%2Fg%2F1tj3416k!19sChIJ2wCqQaVZwokR6c_8vwWRHqU?authuser=0&hl=en&rclk=1"
