business_name,address,phone,website,area,city,category,reviews_count,rating,url
"P & T Electricians Midtown","Address: 450 W 63rd St, New York, NY 10069, United States ","+16463744274","","New York, NY","New York, NY","electricians","","4.7","https://www.google.com/maps/place/P+%26+T+Electricians+Midtown/data=!4m7!3m6!1s0x89c25e2fdb1810b5:0xf4de87e3f7c74fd0!8m2!3d40.774745!4d-73.990356!16s%2Fg%2F11f50sj54m!19sChIJtRAY2y9ewokR0E_H9-OH3vQ?authuser=0&hl=en&rclk=1"
"56 Electric & Plumbing","Address: 357 Bleecker St, New York, NY 10014, United States ","+17187013884","","New York, NY","New York, NY","electricians","","4.9","https://www.google.com/maps/place/56+Electric+%26+Plumbing/data=!4m7!3m6!1s0x89c25e97e05ae389:0xc778554c98d987b1!8m2!3d40.7344203!4d-74.0044641!16s%2Fg%2F1tvgw7vz!19sChIJieNa4JdewokRsYfZmExVeMc?authuser=0&hl=en&rclk=1"
"Bright Electrical Service LLC","Address: 1234 Broadway, New York, NY 10001, United States ","+19174981475","","New York, NY","New York, NY","electricians","","4.8","https://www.google.com/maps/place/Bright+Electrical+Service+LLC/data=!4m7!3m6!1s0x89c25903d2ef7069:0xed8242b8c29d237c!8m2!3d40.7473219!4d-73.988026!16s%2Fg%2F11rqtq4bt1!19sChIJaXDv0gNZwokRfCOdwrhCgu0?authuser=0&hl=en&rclk=1"
